Person Name,Role,Company Name,Classification,Interest Areas,url
Craig Schorr,Managing Director,Bayview Asset Management,Issuer,"ABS, RMBS (GSE and PLS), Regulation/policy, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5Njc=
"
Christopher Desmond,Partner,Dechert LLP,Service Provider,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5NjE=
"
Meghan Fornshell,Principal,Blackstone,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5NjA=
"
Jeremy Schneider,"Managing Director, Sector Lead, U.S. RMBS",S&P Global Ratings,Service Provider,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5NTg=
"
Arusha Ghosh,Managing Director,GreensLedge Asset Management,Investor,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Distressed Debt, Corporate Funding/Investment, Emerging Markets, Fintech/AI, Regulation/policy, SSA Funding/Investment, Sustainable Finance, Covered Bonds, Risk Transfer, Whole Loan/NPL/RPL, Hybrid Capital, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5NTc=
"
Steven Margestis,"Director, Structured Finance",S&P Global Ratings,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5NDI=
"
Steven Stubbs,Senior Director,Fitch Ratings,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5NDA=
"
Laurent Chane-Kon,Senior Director,Fitch Ratings,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5MzA=
"
Greg Kabance,Managing Director,Fitch Ratings,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5Mjk=
"
Brian Donley,Analyst,SVC,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5Mjg=
"
Kevin Kendra,Managing Director,Fitch Ratings,Service Provider,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5MjY=
"
Michael Girard,Senior Director,Fitch Ratings,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5MjU=
"
Derek Miller,Managing Director,Fitch Ratings,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5MjQ=
"
Nick Zissis,"Senior Vice President, Head of Capital Markets",BBAM,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5MTA=
"
Daniel Chambers,Managing Director,Fitch Ratings,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5MDk=
"
Ludwig Schoenack,Co-Founder and CEO,KYTE.COM,Issuer,"Commercial ABS (Equipment/Aircraft/Transportation), Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI5MDU=
"
Natalie Weber,Business Development Manager,Winston & Strawn,Service Provider,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4OTY=
"
Stephen Anderberg,"Managing Director & Sector Lead, US CLOs, Structured Finance",S&P Global Ratings,Service Provider,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4OTU=
"
Steve Martinez,Director,S&P Global Ratings,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4OTQ=
"
Michael Rees,COO/CFO,SummitIG,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4OTM=
"
