SBA Loan Number,Maturity Date,Net Rate,Originator Rate,Outstanding Balance,Pool Number,holder
3961379104,06/17/2048,6.12500,2.18000,"$802,576.43",530504,"BREAN CAPITAL, LLC, "
4174589103,10/20/2047,6.12500,2.68000,"$1,111,227.33",530504,"BREAN CAPITAL, LLC, "
4174599106,10/20/2047,6.12500,2.68000,"$1,060,642.67",530504,"BREAN CAPITAL, LLC, "
4270019107,02/29/2048,6.12500,3.73000,"$223,588.76",530504,"BREAN CAPITAL, LLC, "
4289369107,02/29/2048,6.12500,3.24000,"$517,203.90",530504,"BREAN CAPITAL, LLC, "
4294139102,11/15/2048,6.12500,2.68000,"$1,871,941.40",530504,"BREAN CAPITAL, LLC, "
4548329101,10/09/2048,6.12500,2.93000,"$1,210,311.72",530504,"BREAN CAPITAL, LLC, "
4639839107,10/29/2048,6.12500,2.93000,"$1,607,415.77",530504,"BREAN CAPITAL, LLC, "
4762569104,03/23/2049,6.12500,3.18000,"$3,344,016.84",530504,"BREAN CAPITAL, LLC, "
4919659106,09/27/2048,6.12500,2.68000,"$1,249,864.68",530504,"BREAN CAPITAL, LLC, "
5002869102,05/22/2048,6.12500,3.98000,"$272,002.68",530504,"BREAN CAPITAL, LLC, "
5044509108,07/18/2048,6.12500,2.68000,"$628,023.20",530504,"BREAN CAPITAL, LLC, "
5263669110,12/05/2048,6.12500,3.68000,"$2,799,158.91",530504,"BREAN CAPITAL, LLC, "
5272369105,12/14/2048,6.12500,3.68000,"$1,494,933.13",530504,"BREAN CAPITAL, LLC, "
5279459100,09/26/2048,6.12500,4.23000,"$274,651.55",530504,"BREAN CAPITAL, LLC, "
5289799101,09/29/2048,6.12500,3.43000,"$445,788.97",530504,"BREAN CAPITAL, LLC, "
5312789108,11/30/2048,6.12500,3.68000,"$2,815,699.04",530504,"BREAN CAPITAL, LLC, "
5377999102,12/29/2048,6.12500,3.98000,"$311,891.47",530504,"BREAN CAPITAL, LLC, "
